id,nombre,efecto,velocidad,descripcion
GLU,Glutamato,Excitatorio,2.5,"Principal mediador de informacion sensorial y motora."
GABA,Acido Gamma-aminobutirico,Inhibitorio,1.2,"Reduce la actividad neuronal; control del estres."
ACH,Acetilcolina,Excitatorio,2.0,"Fundamental para la memoria y activacion muscular."
DA,Dopamina,Modulador,1.5,"Regula el placer, recompensa y la motivacion."
5HT,Serotonina,Modulador,1.0,"Influye en el estado de animo y ciclo del sueno."
NE,Norepinefrina,Excitatorio,1.8,"Relacionado con la atencion y respuesta de alerta."
GLY,Glicina,Inhibitorio,1.1,"Principal inhibidor en la medula espinal."
HIS,Histamina,Excitatorio,1.4,"Regula el despertar y la atencion."
ASP,Aspartato,Excitatorio,2.3,"Estimulante cerebral similar al glutamato."
EPI,Epinefrina,Excitatorio,2.0,"Respuesta de estres agudo (adrenalina)."
OX,Oxitocina,Modulador,0.8,"Vinculacion social y confianza."
VAS,Vasopresina,Modulador,0.9,"Regula la homeostasis y el comportamiento social."
SUBP,Sustancia P,Excitatorio,0.7,"Transmision de senales de dolor."
MET,Met-encefalina,Inhibitorio,0.6,"Opioide endogeno que reduce el dolor."
LEU,Leu-encefalina,Inhibitorio,0.6,"Regulacion de la respuesta al dolor."
B-END,Beta-endorfina,Inhibitorio,0.5,"Produce euforia y analgesia natural."
SOM,Somatostatina,Modulador,0.7,"Inhibe la secrecion de hormonas y modula neuronas."
CCK,Colecistoquinina,Modulador,0.9,"Relacionado con la saciedad y ansiedad."
NPY,Neuropeptido Y,Modulador,1.0,"Estimula el apetito y reduce la ansiedad."
GAL,Galanina,Modulador,0.8,"Implicado en el aprendizaje y el sueno."
VIP,Peptido Vasoactivo Int.,Modulador,1.1,"Regula ritmos circadianos."
TRH,Hormona Liberadora Tir.,Excitatorio,1.3,"Estimula el metabolismo neuronal."
CRH,Hormona Lib. Cortico.,Excitatorio,1.2,"Coordinador central de la respuesta al estres."
GNRH,Hormona Lib. Gonado.,Modulador,0.7,"Regulacion del comportamiento reproductivo."
ADEN,Adenosina,Inhibitorio,0.4,"Induce el sueno y suprime el despertar."
ATP,Adenosin trifosfato,Excitatorio,2.2,"Co-transmisor en sinapsis rapidas."
NO,Oxido Nitrico,Modulador,3.0,"Gas que difunde libremente (retroalimentacion)."
CO,Monoxido de Carbono,Modulador,2.8,"Mensajero gaseoso de larga distancia."
AEA,Anandamida,Modulador,0.6,"Cannabinoide endogeno; regula el apetito y animo."
2-AG,2-araquidonoilglicerol,Modulador,0.6,"Principal cannabinoide del sistema nervioso."
MEL,Melatonina,Inhibitorio,0.5,"Regula el ciclo circadiano sueno-vigilia."
ANGII,Angiotensina II,Excitatorio,1.5,"Estimula la sed y la presion arterial."
BOMB,Bombesina,Modulador,0.9,"Regula la termorregulacion."
D-SER,D-Serina,Excitatorio,2.1,"Co-agonista del receptor NMDA."
TAUR,Taurina,Inhibitorio,1.3,"Protege contra la excitotoxicidad."
AGRP,Proteina Agouti,Modulador,0.7,"Aumenta la ingesta de alimentos."
CART,Transcrito Reg. Cocaina,Modulador,1.1,"Suprime el apetito y modula el estres."
DYN,Dinorfina,Inhibitorio,0.5,"Opioide relacionado con el estres negativo."
NOS,Nociceptina,Inhibitorio,0.6,"Antagonista de la analgesia."
NPW,Neuropeptido W,Modulador,0.8,"Regula el eje del estres y la energia."
NPS,Neuropeptido S,Excitatorio,1.6,"Aumenta el estado de alerta y reduce el miedo."
QRFP,Piroglutamil RF-amida,Modulador,0.9,"Implicado en la conducta alimentaria."
OREX,Orexina (Hipocretina),Excitatorio,1.9,"Mantiene el estado de vigilia."
MCH,Hormona Conc. Melanina,Modulador,0.7,"Regula el sueno REM y el balance energetico."
GHRH,Hormona Lib. Somat.,Modulador,0.9,"Relacionado con el crecimiento y reparacion celular."
PRRP,Peptido Lib. Prolactina,Modulador,0.8,"Respuesta al estres y balance de fluidos."
PACAP,Peptido Act. Adenilato,Excitatorio,1.4,"Neuroprotector y modulador sinaptico."
NKA,Neuroquinina A,Excitatorio,1.2,"Mediador de la inflamacion neurogenica."
NKB,Neuroquinina B,Modulador,1.1,"Regulacion de la funcion reproductiva."
MOT,Motilina,Modulador,0.8,"Comunicacion intestino-cerebro."
